category,questionText,optionA,optionB,optionC,optionD,correctAnswer,audioUrl
LISTENING,"(Man): I am so tired of studying. (Woman): Why don't we take a break and grab some coffee? (Narrator): What does the woman suggest?",Going to sleep,Studying more,Drinking coffee,Cleaning the room,C,https://www2.mcdaniel.edu/english/esl/listening/mp3/1.mp3
LISTENING,"(Woman): Did you finish the report? (Man): Not yet, I need more time. (Narrator): What does the man mean?",He is finished,He needs help,He is almost done,He has not finished yet,D,https://www2.mcdaniel.edu/english/esl/listening/mp3/2.mp3
LISTENING,"(Man): How was the movie? (Woman): It was a waste of time. (Narrator): What does the woman imply?",The movie was long,She didn't like it,She was late,It was a good movie,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/3.mp3
LISTENING,"(Woman): Are you taking the bus? (Man): No, I think I'll walk today. The weather is nice. (Narrator): How will the man get to his destination?",By bus,By car,On foot,By train,C,https://www2.mcdaniel.edu/english/esl/listening/mp3/4.mp3
LISTENING,"(Man): I can't find my keys anywhere. (Woman): Did you check your coat pocket? (Narrator): What does the woman suggest?",Buying new keys,Looking in the pocket,Checking the car,Leaving the door open,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/5.mp3
LISTENING,"(Woman): The professor cancelled class today. (Man): That's great! I can catch up on my reading. (Narrator): Why is the man happy?",He likes the professor,He has free time,He passed the test,He is going home,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/6.mp3
LISTENING,"(Man): Do you have change for a dollar? (Woman): Sorry, I only have big bills. (Narrator): What does the woman mean?",She has no money,She cannot give change,She has many coins,She wants a dollar,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/7.mp3
LISTENING,"(Woman): This soup is too salty. (Man): I told you not to add that much salt. (Narrator): What happened to the soup?",It is perfect,It has no flavor,It is too hot,It has too much salt,D,https://www2.mcdaniel.edu/english/esl/listening/mp3/8.mp3
LISTENING,"(Man): When is the deadline? (Woman): It's due next Monday. (Narrator): When must the assignment be submitted?",Tomorrow,This Friday,Next Monday,Next Tuesday,C,https://www2.mcdaniel.edu/english/esl/listening/mp3/9.mp3
LISTENING,"(Woman): I think I'll wear the red dress. (Man): The blue one suits you better. (Narrator): What does the man prefer?",The red dress,The blue dress,The green dress,No dress,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/10.mp3
LISTENING,"(Man): Is there a pharmacy nearby? (Woman): Yes, right across the street. (Narrator): Where is the pharmacy?",Far away,Across the street,Next door,In the next town,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/11.mp3
LISTENING,"(Woman): Why are you whispering? (Man): Because we are in a library! (Narrator): Why is the man whispering?",He has a sore throat,It is a secret,They are in a quiet zone,He is shy,C,https://www2.mcdaniel.edu/english/esl/listening/mp3/12.mp3
LISTENING,"(Man): Can you help me lift this box? (Woman): Sure, it looks heavy. (Narrator): What will the woman do?",Watch the man,Help the man,Leave the room,Open the box,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/13.mp3
LISTENING,"(Woman): I passed my driving test! (Man): Congratulations! (Narrator): What is the good news?",She bought a car,She passed the test,She got a job,She is moving,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/14.mp3
LISTENING,"(Man): Do you want to go out for dinner? (Woman): I'd rather stay in and cook. (Narrator): What does the woman want to do?",Eat at a restaurant,Cook at home,Order delivery,Skip dinner,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/15.mp3
LISTENING,"(Woman): Have you seen my glasses? (Man): They are on your head. (Narrator): Where are the glasses?",On the table,In the case,On her head,Lost forever,C,https://www2.mcdaniel.edu/english/esl/listening/mp3/16.mp3
LISTENING,"(Man): It's raining cats and dogs! (Woman): We better stay inside. (Narrator): What does the man mean?",Animals are falling,It is raining heavily,It is a sunny day,He likes cats,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/17.mp3
LISTENING,"(Woman): I'm sorry I'm late. Traffic was terrible. (Man): No problem, the meeting hasn't started yet. (Narrator): Why was the woman late?",She overslept,Bad traffic,Car trouble,She got lost,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/18.mp3
LISTENING,"(Man): This computer is so slow. (Woman): Maybe it has a virus. (Narrator): What is the problem?",The computer is broken,The internet is fast,The computer is slow,The screen is black,C,https://www2.mcdaniel.edu/english/esl/listening/mp3/19.mp3
LISTENING,"(Woman): Do you like jazz? (Man): It's not my cup of tea. (Narrator): How does the man feel about jazz?",He loves it,He hates it,He doesn't like it,He plays it,C,https://www2.mcdaniel.edu/english/esl/listening/mp3/20.mp3
LISTENING,"(Man): I need to renew my passport. (Woman): You should do it before your trip. (Narrator): What does the man need to do?",Buy a ticket,Renew his passport,Pack his bags,Call the embassy,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/21.mp3
LISTENING,"(Woman): Who is that man over there? (Man): That's the new CEO. (Narrator): Who are they talking about?",The janitor,The new CEO,A client,A waiter,B,https://www2.mcdaniel.edu/english/esl/listening/mp3/22.mp3
